"DOY","date","time","day","month","year","daily_rain"
1,2024-01-01,"23:55",1,1,2024,0.1
2,2024-01-02,"23:55",2,1,2024,6.1
3,2024-01-03,"23:55",3,1,2024,0.4
4,2024-01-04,"23:55",4,1,2024,2
5,2024-01-05,"23:55",5,1,2024,10.7
6,2024-01-06,"23:55",6,1,2024,3
7,2024-01-07,"0:00",7,1,2024,3
8,2024-01-08,"23:55",8,1,2024,0.2
9,2024-01-09,"23:55",9,1,2024,2.1
10,2024-01-10,"23:55",10,1,2024,0.2
11,2024-01-11,"23:55",11,1,2024,0
12,2024-01-12,"23:55",12,1,2024,0
13,2024-01-13,"23:55",13,1,2024,0
14,2024-01-14,"23:55",14,1,2024,0
15,2024-01-15,"23:55",15,1,2024,0
16,2024-01-16,"23:55",16,1,2024,0
17,2024-01-17,"23:55",17,1,2024,0
18,2024-01-18,"23:55",18,1,2024,0
19,2024-01-19,"23:55",19,1,2024,0
20,2024-01-20,"23:55",20,1,2024,0.1
21,2024-01-21,"23:55",21,1,2024,0.1
22,2024-01-22,"23:55",22,1,2024,14.6
23,2024-01-23,"23:55",23,1,2024,2.1
24,2024-01-24,"23:55",24,1,2024,11.6
25,2024-01-25,"23:55",25,1,2024,2.6
26,2024-01-26,"23:55",26,1,2024,11.9
27,2024-01-27,"23:55",27,1,2024,39.8
28,2024-01-28,"23:55",28,1,2024,12.6
29,2024-01-29,"23:55",29,1,2024,1.2
30,2024-01-30,"23:55",30,1,2024,3.1
31,2024-01-31,"23:55",31,1,2024,3.6
32,2024-02-01,"23:55",1,2,2024,0.9
33,2024-02-02,"23:55",2,2,2024,0.8
34,2024-02-03,"23:55",3,2,2024,0.1
35,2024-02-04,"23:55",4,2,2024,0.1
36,2024-02-05,"23:55",5,2,2024,0
37,2024-02-06,"23:55",6,2,2024,0
38,2024-02-07,"23:55",7,2,2024,1.7
39,2024-02-08,"23:55",8,2,2024,1.2
40,2024-02-09,"23:55",9,2,2024,0.1
41,2024-02-10,"23:55",10,2,2024,5.3
42,2024-02-11,"23:55",11,2,2024,14.6
43,2024-02-12,"23:56",12,2,2024,2.5
44,2024-02-13,"23:55",13,2,2024,0.2
45,2024-02-14,"23:55",14,2,2024,0.1
46,2024-02-15,"23:55",15,2,2024,0.2
47,2024-02-16,"23:55",16,2,2024,0.2
48,2024-02-17,"23:55",17,2,2024,0
49,2024-02-18,"23:55",18,2,2024,0
50,2024-02-19,"23:55",19,2,2024,8
51,2024-02-20,"23:55",20,2,2024,4.9
52,2024-02-21,"23:55",21,2,2024,15.7
53,2024-02-22,"23:55",22,2,2024,0.7
54,2024-02-23,"23:55",23,2,2024,0
55,2024-02-24,"23:55",24,2,2024,0.7
56,2024-02-25,"23:55",25,2,2024,0.5
57,2024-02-26,"23:55",26,2,2024,0
58,2024-02-27,"23:55",27,2,2024,0.1
59,2024-02-28,"23:55",28,2,2024,21.6
60,2024-02-29,"23:55",29,2,2024,2.6
61,2024-03-01,"23:55",1,3,2024,4.6
62,2024-03-02,"23:55",2,3,2024,4.8
63,2024-03-03,"23:55",3,3,2024,3.9
64,2024-03-04,"23:55",4,3,2024,4
65,2024-03-05,"23:55",5,3,2024,0.1
66,2024-03-06,"23:55",6,3,2024,0.6
67,2024-03-07,"23:55",7,3,2024,0.3
68,2024-03-08,"23:55",8,3,2024,4.7
69,2024-03-09,"23:55",9,3,2024,1.9
70,2024-03-10,"23:55",10,3,2024,3.2
71,2024-03-11,"23:55",11,3,2024,8.3
72,2024-03-12,"23:55",12,3,2024,3
73,2024-03-13,"23:55",13,3,2024,0
74,2024-03-14,"23:55",14,3,2024,0
75,2024-03-15,"23:55",15,3,2024,0
76,2024-03-16,"23:55",16,3,2024,0
77,2024-03-17,"23:55",17,3,2024,0
78,2024-03-18,"23:55",18,3,2024,0
79,2024-03-19,"23:55",19,3,2024,0
80,2024-03-20,"23:55",20,3,2024,0
81,2024-03-21,"23:55",21,3,2024,0.1
82,2024-03-22,"23:55",22,3,2024,7.1
83,2024-03-23,"23:55",23,3,2024,15.1
84,2024-03-24,"23:55",24,3,2024,0.1
85,2024-03-25,"23:55",25,3,2024,1.3
86,2024-03-26,"23:55",26,3,2024,0.6
87,2024-03-27,"23:55",27,3,2024,18.4
88,2024-03-28,"23:55",28,3,2024,0.8
89,2024-03-29,"23:55",29,3,2024,0.5
90,2024-03-30,"23:55",30,3,2024,0
91,2024-03-31,"23:55",31,3,2024,0
92,2024-04-01,"23:55",1,4,2024,0
93,2024-04-02,"23:56",2,4,2024,0
94,2024-04-03,"23:55",3,4,2024,0
95,2024-04-04,"23:55",4,4,2024,0
96,2024-04-05,"23:55",5,4,2024,0
97,2024-04-06,"23:57",6,4,2024,0.7
98,2024-04-07,"23:55",7,4,2024,1.4
99,2024-04-08,"23:55",8,4,2024,8.3
100,2024-04-09,"23:55",9,4,2024,0.1
101,2024-04-10,"23:55",10,4,2024,0
102,2024-04-11,"23:55",11,4,2024,4.9
103,2024-04-12,"23:55",12,4,2024,0.4
104,2024-04-13,"23:55",13,4,2024,0
105,2024-04-14,"23:55",14,4,2024,0
106,2024-04-15,"23:55",15,4,2024,0
107,2024-04-16,"23:55",16,4,2024,0
108,2024-04-17,"23:55",17,4,2024,0
109,2024-04-18,"23:55",18,4,2024,0
110,2024-04-19,"23:55",19,4,2024,0
111,2024-04-20,"23:55",20,4,2024,1
112,2024-04-21,"23:55",21,4,2024,0
113,2024-04-22,"23:55",22,4,2024,0
114,2024-04-23,"23:55",23,4,2024,0
115,2024-04-24,"23:55",24,4,2024,3.2
116,2024-04-25,"23:55",25,4,2024,19.3
117,2024-04-26,"23:55",26,4,2024,3.8
118,2024-04-27,"23:55",27,4,2024,2.3
119,2024-04-28,"23:55",28,4,2024,0.5
120,2024-04-29,"23:55",29,4,2024,0
121,2024-04-30,"23:55",30,4,2024,2.1
122,2024-05-01,"23:55",1,5,2024,0
123,2024-05-02,"23:55",2,5,2024,0
124,2024-05-03,"23:55",3,5,2024,0
125,2024-05-04,"23:55",4,5,2024,0
126,2024-05-05,"23:55",5,5,2024,1.4
127,2024-05-06,"23:55",6,5,2024,0.1
128,2024-05-07,"23:55",7,5,2024,0
129,2024-05-08,"23:55",8,5,2024,0
130,2024-05-09,"23:55",9,5,2024,0
131,2024-05-10,"23:55",10,5,2024,0
132,2024-05-11,"23:55",11,5,2024,0
133,2024-05-12,"23:55",12,5,2024,0
134,2024-05-13,"23:55",13,5,2024,0
135,2024-05-14,"23:55",14,5,2024,0
136,2024-05-15,"23:55",15,5,2024,0
137,2024-05-16,"23:55",16,5,2024,0
138,2024-05-17,"23:55",17,5,2024,0.1
139,2024-05-18,"23:55",18,5,2024,3.5
140,2024-05-19,"23:55",19,5,2024,0.1
141,2024-05-20,"0:00",20,5,2024,0.1
142,2024-05-21,"23:55",21,5,2024,14.6
143,2024-05-22,"23:55",22,5,2024,5.4
144,2024-05-23,"23:55",23,5,2024,0
145,2024-05-24,"23:55",24,5,2024,3.3
146,2024-05-25,"23:55",25,5,2024,0.6
147,2024-05-26,"23:55",26,5,2024,6.3
148,2024-05-27,"23:55",27,5,2024,0.6
149,2024-05-28,"23:55",28,5,2024,5.4
150,2024-05-29,"13:45",29,5,2024,0.7
151,2023-05-31,"23:55",31,5,2023,0
152,2023-06-01,"23:55",1,6,2023,0
153,2023-06-02,"23:55",2,6,2023,0
154,2023-06-03,"23:55",3,6,2023,0
155,2023-06-04,"23:55",4,6,2023,0
156,2023-06-05,"23:55",5,6,2023,0
157,2023-06-06,"23:55",6,6,2023,0
158,2023-06-07,"22:50",7,6,2023,0
159,2023-06-08,"23:55",8,6,2023,0
160,2023-06-09,"23:55",9,6,2023,7.1
161,2023-06-10,"23:55",10,6,2023,5.4
162,2023-06-11,"23:55",11,6,2023,0
163,2023-06-12,"23:55",12,6,2023,0
164,2023-06-13,"23:55",13,6,2023,0
165,2023-06-14,"23:55",14,6,2023,0
166,2023-06-15,"23:55",15,6,2023,0
167,2023-06-16,"23:55",16,6,2023,0
168,2023-06-17,"23:55",17,6,2023,0
169,2023-06-18,"23:55",18,6,2023,4.7
170,2023-06-19,"23:55",19,6,2023,0
171,2023-06-20,"23:55",20,6,2023,0
172,2023-06-21,"23:55",21,6,2023,0
173,2023-06-22,"23:55",22,6,2023,0
174,2023-06-23,"23:55",23,6,2023,0
175,2023-06-24,"23:55",24,6,2023,0
176,2023-06-25,"23:55",25,6,2023,0
177,2023-06-26,"23:55",26,6,2023,0
178,2023-06-27,"23:55",27,6,2023,0
179,2023-06-28,"23:55",28,6,2023,0
180,2023-06-29,"23:55",29,6,2023,0
181,2023-06-30,"23:55",30,6,2023,0
182,2023-07-01,"23:55",1,7,2023,0
183,2023-07-02,"23:55",2,7,2023,0
184,2023-07-03,"23:55",3,7,2023,0
185,2023-07-04,"23:55",4,7,2023,0
186,2023-07-05,"23:55",5,7,2023,0
187,2023-07-06,"23:55",6,7,2023,0
188,2023-07-07,"23:55",7,7,2023,0
189,2023-07-08,"23:55",8,7,2023,0
190,2023-07-09,"23:55",9,7,2023,0
191,2023-07-10,"23:55",10,7,2023,0
192,2023-07-11,"23:55",11,7,2023,0
193,2023-07-12,"23:55",12,7,2023,0
194,2023-07-13,"23:55",13,7,2023,0
195,2023-07-14,"23:55",14,7,2023,0
196,2023-07-15,"23:55",15,7,2023,0
197,2023-07-16,"23:55",16,7,2023,0
198,2023-07-17,"23:55",17,7,2023,0
199,2023-07-18,"23:55",18,7,2023,0
200,2023-07-19,"23:55",19,7,2023,0
201,2023-07-20,"23:55",20,7,2023,0
202,2023-07-21,"23:55",21,7,2023,0
203,2023-07-22,"23:55",22,7,2023,0
204,2023-07-23,"23:55",23,7,2023,0
205,2023-07-24,"23:55",24,7,2023,18.8
206,2023-07-25,"23:55",25,7,2023,0.8
207,2023-07-26,"23:55",26,7,2023,0
208,2023-07-27,"23:55",27,7,2023,0
209,2023-07-28,"23:55",28,7,2023,0
210,2023-07-29,"23:55",29,7,2023,0
211,2023-07-30,"23:55",30,7,2023,0
212,2023-07-31,"23:55",31,7,2023,0
213,2023-08-01,"23:55",1,8,2023,0
214,2023-08-02,"23:55",2,8,2023,0
215,2023-08-03,"23:55",3,8,2023,0
216,2023-08-04,"23:55",4,8,2023,0
217,2023-08-05,"23:55",5,8,2023,0
218,2023-08-06,"23:55",6,8,2023,0
219,2023-08-07,"23:55",7,8,2023,0
220,2023-08-08,"23:55",8,8,2023,0
221,2023-08-09,"23:55",9,8,2023,2.6
222,2023-08-10,"23:55",10,8,2023,0
223,2023-08-11,"23:55",11,8,2023,0
224,2023-08-12,"23:55",12,8,2023,0
225,2023-08-13,"23:55",13,8,2023,0
226,2023-08-14,"23:55",14,8,2023,0
227,2023-08-15,"23:55",15,8,2023,0
228,2023-08-16,"23:55",16,8,2023,0
229,2023-08-17,"23:55",17,8,2023,0
230,2023-08-18,"23:55",18,8,2023,0
231,2023-08-19,"23:55",19,8,2023,0
232,2023-08-20,"23:55",20,8,2023,0
233,2023-08-21,"23:55",21,8,2023,0
234,2023-08-22,"23:55",22,8,2023,0
235,2023-08-23,"23:55",23,8,2023,0
236,2023-08-24,"23:55",24,8,2023,0
237,2023-08-25,"23:55",25,8,2023,0.1
238,2023-08-26,"23:55",26,8,2023,0
239,2023-08-27,"23:55",27,8,2023,0
240,2023-08-28,"23:55",28,8,2023,1.4
241,2023-08-29,"23:55",29,8,2023,1.7
242,2023-08-30,"23:55",30,8,2023,1.8
243,2023-08-31,"23:55",31,8,2023,3.1
244,2023-09-01,"23:55",1,9,2023,0
245,2023-09-02,"23:55",2,9,2023,0.2
246,2023-09-03,"23:55",3,9,2023,2.4
247,2023-09-04,"23:55",4,9,2023,0
248,2023-09-05,"23:55",5,9,2023,0
249,2023-09-06,"23:55",6,9,2023,0
250,2023-09-07,"23:55",7,9,2023,0
251,2023-09-08,"23:55",8,9,2023,0
252,2023-09-09,"23:55",9,9,2023,0
253,2023-09-10,"23:55",10,9,2023,0
254,2023-09-11,"23:55",11,9,2023,0
255,2023-09-12,"23:55",12,9,2023,1.7
256,2023-09-13,"23:55",13,9,2023,0
257,2023-09-14,"23:55",14,9,2023,0
258,2023-09-15,"23:55",15,9,2023,0
259,2023-09-16,"23:55",16,9,2023,0
260,2023-09-17,"23:55",17,9,2023,0
261,2023-09-18,"23:55",18,9,2023,0
262,2023-09-19,"23:55",19,9,2023,0.9
263,2023-09-20,"0:00",20,9,2023,0.9
264,2023-09-21,"23:55",21,9,2023,0
265,2023-09-22,"23:55",22,9,2023,0
266,2023-09-23,"23:55",23,9,2023,0
267,2023-09-24,"23:55",24,9,2023,0
268,2023-09-25,"23:55",25,9,2023,9.4
269,2023-09-26,"23:55",26,9,2023,4.5
270,2023-09-27,"23:55",27,9,2023,6.9
271,2023-09-28,"23:55",28,9,2023,6.1
272,2023-09-29,"23:55",29,9,2023,0
273,2023-09-30,"23:55",30,9,2023,0
274,2023-10-01,"23:55",1,10,2023,0
275,2023-10-02,"23:55",2,10,2023,12.1
276,2023-10-03,"23:55",3,10,2023,0.2
277,2023-10-04,"23:55",4,10,2023,0
278,2023-10-05,"23:55",5,10,2023,0.3
279,2023-10-06,"23:55",6,10,2023,0
280,2023-10-07,"23:55",7,10,2023,0
281,2023-10-08,"23:55",8,10,2023,0
282,2023-10-09,"23:55",9,10,2023,5.9
283,2023-10-10,"0:00",10,10,2023,5.9
284,2023-10-11,"23:55",11,10,2023,3.1
285,2023-10-12,"23:55",12,10,2023,0.1
286,2023-10-13,"23:55",13,10,2023,3.3
287,2023-10-14,"23:55",14,10,2023,2.3
288,2023-10-15,"23:55",15,10,2023,5.7
289,2023-10-16,"23:55",16,10,2023,4.3
290,2023-10-17,"23:55",17,10,2023,17
291,2023-10-18,"23:55",18,10,2023,21.8
292,2023-10-19,"23:55",19,10,2023,0.1
293,2023-10-20,"23:55",20,10,2023,0
294,2023-10-21,"23:55",21,10,2023,0
295,2023-10-22,"23:55",22,10,2023,0
296,2023-10-23,"23:55",23,10,2023,0.1
297,2023-10-24,"23:55",24,10,2023,42
298,2023-10-25,"23:55",25,10,2023,24.2
299,2023-10-26,"23:55",26,10,2023,1.2
300,2023-10-27,"23:56",27,10,2023,0.6
301,2023-10-28,"23:55",28,10,2023,0.4
302,2023-10-29,"23:55",29,10,2023,1.3
303,2023-10-30,"23:55",30,10,2023,0.2
304,2023-10-31,"23:55",31,10,2023,0
305,2023-11-01,"23:56",1,11,2023,11.9
306,2023-11-02,"23:55",2,11,2023,21.4
307,2023-11-03,"23:55",3,11,2023,5
308,2023-11-04,"23:55",4,11,2023,13.8
309,2023-11-05,"23:55",5,11,2023,4.6
310,2023-11-06,"23:55",6,11,2023,4.4
311,2023-11-07,"23:55",7,11,2023,0.2
312,2023-11-08,"23:55",8,11,2023,0.7
313,2023-11-09,"23:55",9,11,2023,2.6
314,2023-11-10,"23:55",10,11,2023,6.2
315,2023-11-11,"23:55",11,11,2023,17.9
316,2023-11-12,"23:55",12,11,2023,11.6
317,2023-11-13,"0:00",13,11,2023,11.6
318,2023-11-14,"23:55",14,11,2023,0.1
319,2023-11-15,"23:55",15,11,2023,0.7
320,2023-11-16,"23:55",16,11,2023,0
321,2023-11-17,"23:55",17,11,2023,0.1
322,2023-11-18,"23:55",18,11,2023,4.2
323,2023-11-19,"23:55",19,11,2023,0.1
324,2023-11-20,"23:55",20,11,2023,0
325,2023-11-21,"23:55",21,11,2023,9.8
326,2023-11-22,"23:55",22,11,2023,0.2
327,2023-11-23,"23:55",23,11,2023,0.2
328,2023-11-24,"23:55",24,11,2023,0.2
329,2023-11-25,"23:55",25,11,2023,0.1
330,2023-11-26,"23:55",26,11,2023,0.1
331,2023-11-27,"23:55",27,11,2023,0.1
332,2023-11-28,"23:55",28,11,2023,0
333,2023-11-29,"23:55",29,11,2023,0
334,2023-11-30,"23:55",30,11,2023,1.7
335,2023-12-01,"23:55",1,12,2023,10
336,2023-12-02,"23:55",2,12,2023,11.4
337,2023-12-03,"23:55",3,12,2023,6.5
338,2023-12-04,"23:55",4,12,2023,45.8
339,2023-12-05,"23:55",5,12,2023,4.1
340,2023-12-06,"23:55",6,12,2023,0.1
341,2023-12-07,"23:55",7,12,2023,0.2
342,2023-12-08,"23:55",8,12,2023,0.1
343,2023-12-09,"23:55",9,12,2023,30.9
344,2023-12-10,"23:55",10,12,2023,4.8
345,2023-12-11,"23:55",11,12,2023,0.3
346,2023-12-12,"23:55",12,12,2023,0
347,2023-12-13,"23:55",13,12,2023,0.6
348,2023-12-14,"23:55",14,12,2023,2.8
349,2023-12-15,"23:55",15,12,2023,8.2
350,2023-12-16,"23:55",16,12,2023,0
351,2023-12-17,"23:55",17,12,2023,0.5
352,2023-12-18,"23:55",18,12,2023,4.3
353,2023-12-19,"23:55",19,12,2023,2.5
354,2023-12-20,"23:55",20,12,2023,0.4
355,2023-12-21,"23:55",21,12,2023,1.4
356,2023-12-22,"23:55",22,12,2023,1.4
357,2023-12-23,"23:55",23,12,2023,0.1
358,2023-12-24,"23:55",24,12,2023,0
359,2023-12-25,"22:15",25,12,2023,3.4
360,2023-12-26,"23:55",26,12,2023,4.1
361,2023-12-27,"23:55",27,12,2023,1.6
362,2023-12-28,"23:55",28,12,2023,3.5
363,2023-12-29,"23:55",29,12,2023,2.2
364,2023-12-30,"23:55",30,12,2023,3.2
365,2023-12-31,"23:55",31,12,2023,0.2
